imdb_id,question
tt7167602,What is the main plot focus of the movie 'Suicide Squad: Hell to Pay'?
tt7167602,Who directed the 2018 film 'Suicide Squad: Hell to Pay'?
tt7167602,What is the runtime of 'Suicide Squad: Hell to Pay'?
tt7167602,Can you tell me the genres of 'Suicide Squad: Hell to Pay'?
tt7167602,What is the IMDb rating for 'Suicide Squad: Hell to Pay'?
tt5085924,What is the main premise of the movie Wildling?
tt5085924,Who directed the film Wildling and who wrote the screenplay?
tt5085924,How does Anna's past affect her after she is freed from the attic?
tt5085924,What genres does the movie Wildling belong to?
tt5085924,Can you provide a link to the trailer for Wildling?
tt6143568,What is the release year of The Humanity Bureau?
tt6143568,Who directed The Humanity Bureau?
tt6143568,Can you provide a brief summary of The Humanity Bureau?
tt6143568,What genres does The Humanity Bureau belong to?
tt6143568,How long is the runtime of The Humanity Bureau?
tt2349677,What year was the documentary 'Farewell Ferris Wheel' released?
tt2349677,Who directed and wrote the movie 'Farewell Ferris Wheel'?
tt2349677,What is the main theme explored in 'Farewell Ferris Wheel'?
tt2349677,How long is the runtime of 'Farewell Ferris Wheel'?
tt2349677,What rating does 'Farewell Ferris Wheel' have on IMDb?
tt5030452,What is the main premise of the movie Don't Talk to Irene?
tt5030452,In what year was the movie Don't Talk to Irene released?
tt5030452,Who directed the film Don't Talk to Irene?
tt5030452,What is the runtime of Don't Talk to Irene?
tt5030452,Can you provide a link to the movie trailer for Don't Talk to Irene?
tt6900092,What is the focus of the emotional journey undertaken by Rebecca Rusch in 'Blood Road'?
tt6900092,Which trail does Rebecca Rusch bike along in the documentary 'Blood Road'?
tt6900092,Who directed the movie 'Blood Road'?
tt6900092,What year was 'Blood Road' released?
tt6900092,Can you provide the runtime for the documentary 'Blood Road'?
tt6543420,Who directed the documentary about André the Giant?
tt6543420,What year was the movie 'Andre the Giant' released?
tt6543420,Can you provide a brief summary of the film's content?
tt6543420,What is the runtime of the movie 'Andre the Giant'?
tt6543420,What is the IMDB rating for the documentary about André Roussimoff?
tt5903088,What is the main premise of the movie Dead on Arrival released in 2017?
tt5903088,"Who directed the thriller Dead on Arrival, and who are its main writers?"
tt5903088,Can you provide a brief summary of the plot involving the pharmaceutical sales representative in Dead on Arrival?
tt5903088,"What are the main genres associated with Dead on Arrival, and how long is its runtime?"
tt5903088,"Where can I find the trailer for Dead on Arrival, and what is its IMDb rating?"
tt7630164,What year was the documentary 'Big Time' released?
tt7630164,Who is the main subject of the film and what is his profession?
tt7630164,Can you summarize the key themes explored in 'Big Time'?
tt7630164,What significant architectural project is Bjarke Ingels working on during the film?
tt7630164,Who directed the documentary 'Big Time' and who wrote it?
tt4456850,What is the plot of the movie Adventures in Babysitting?
tt4456850,Who are the main characters in Adventures in Babysitting?
tt4456850,What genre does Adventures in Babysitting belong to?
tt4456850,Who directed the movie Adventures in Babysitting?
tt4456850,How long is the runtime of Adventures in Babysitting?
tt1537196,What is the genre of the movie 'Banana in a Nutshell'?
tt1537196,Who directed the documentary 'Banana in a Nutshell'?
tt1537196,Can you provide a brief overview of the film's plot?
tt1537196,What year was 'Banana in a Nutshell' released?
tt1537196,Is there a trailer available for 'Banana in a Nutshell'?
tt5478478,What is the central conflict faced by Captain Joseph Blocker in the movie Hostiles?
tt5478478,Who does Captain Blocker have to escort and what is their relationship?
tt5478478,What year is the setting of the film Hostiles and what historical context does it provide?
tt5478478,Can you describe the primary challenges the group faces during their journey in Hostiles?
tt5478478,What is the overall genre classification of the movie Hostiles?
tt4500922,What is the main mission that Thomas and his group undertake in 'Maze Runner: The Death Cure'?
tt4500922,Who is the director of 'Maze Runner: The Death Cure' and what year was it released?
tt4500922,Can you provide a brief summary of the plot for 'Maze Runner: The Death Cure'?
tt4500922,What are the genres associated with 'Maze Runner: The Death Cure'?
tt4500922,How long is the runtime of 'Maze Runner: The Death Cure' and what is its IMDB rating?
tt1259528,Who directed the movie Den of Thieves?
tt1259528,What is the runtime of Den of Thieves?
tt1259528,Can you summarize the plot of Den of Thieves?
tt1259528,What are the main genres of Den of Thieves?
tt1259528,Who are the lead actors in Den of Thieves?
tt6413410,What is the plot of the movie V.I.P. released in 2017?
tt6413410,Who directed the film V.I.P. and who is the lead actor?
tt6413410,What are the main genres that categorize the movie V.I.P.?
tt6413410,How long is the runtime for the movie V.I.P.?
tt6413410,What is the IMDB rating of the movie V.I.P. and where can I find its trailer?
tt0841046,What is the main storyline of Walk Hard: The Dewey Cox Story?
tt0841046,Who directed the movie Walk Hard: The Dewey Cox Story?
tt0841046,In what year was Walk Hard: The Dewey Cox Story released?
tt0841046,How long is the runtime of Walk Hard: The Dewey Cox Story?
tt0841046,Can you provide the YouTube trailer link for Walk Hard: The Dewey Cox Story?
tt0322330,What is the main conflict between Tess and Anna in the movie 'Freaky Friday'?
tt0322330,How does the body-switching occur in 'Freaky Friday'?
tt0322330,Who directed the 2003 film 'Freaky Friday'?
tt0322330,Can you provide a brief summary of the plot of 'Freaky Friday'?
tt0322330,What genres does the film 'Freaky Friday' belong to?
tt6101820,What happens during the dinner gathering in the movie Perfect Strangers?
tt6101820,Who proposes the game involving cell phones during the dinner?
tt6101820,What kind of secrets are revealed as the game progresses in Perfect Strangers?
tt6101820,Who directed the movie Perfect Strangers and who is among the cast?
tt6101820,What genre does the movie Perfect Strangers belong to?
tt2388986,What is the central theme of the film Paterno?
tt2388986,Who directed the movie Paterno?
tt2388986,What historical event is Joe Paterno associated with in this film?
tt2388986,How long is the runtime of Paterno?
tt2388986,Can you provide the IMDb ID for the movie Paterno?
tt2636806,What is the primary theme explored in the movie Shirley: Visions of Reality?
tt2636806,Who directed the film Shirley: Visions of Reality and who are the main cast members?
tt2636806,Can you provide a brief summary of the storyline depicted in Shirley: Visions of Reality?
tt2636806,How long is the runtime of the movie Shirley: Visions of Reality?
tt2636806,What genre does the film Shirley: Visions of Reality belong to?
tt0983213,What is the main theme explored in the movie '5 Centimeters Per Second'?
tt0983213,Who directed and wrote the film '5 Centimeters Per Second'?
tt0983213,Can you tell me about the relationship between the main characters Takaki and Akari?
tt0983213,What is the runtime of the movie '5 Centimeters Per Second'?
tt0983213,Is there a trailer available for '5 Centimeters Per Second' and where can I find it?
tt5598102,Who directed the movie Faces Places and what is his profession?
tt5598102,What unique project do Agnes Varda and J.R. embark on during their journey?
tt5598102,What type of film is Faces Places categorized as?
tt5598102,Can you provide the runtime of Faces Places?
tt5598102,What is the main theme of the friendship between Agnes Varda and J.R. in the film?
tt6294822,What themes are explored in the movie The Post regarding government deception?
tt6294822,Who directed the film The Post and which notable actors star in it?
tt6294822,What significant event does the film depict involving the Pentagon Papers?
tt6294822,How does the character Kay Graham's role evolve throughout the story of The Post?
tt6294822,What challenges do the journalists face while trying to publish their findings?
tt6738046,What is the primary storyline of The Anthem of the Heart?
tt6738046,Who directed the movie The Anthem of the Heart?
tt6738046,What year was The Anthem of the Heart released?
tt6738046,Can you tell me about the cast members in The Anthem of the Heart?
tt6738046,What are the main genres of The Anthem of the Heart?
tt6190198,"What is the main theme of the movie ""My Teacher"" released in 2017?"
tt6190198,Who is the director of the movie and what is the runtime?
tt6190198,Can you tell me about the relationship between Hibiki and Mr. Ito in the film?
tt6190198,"What genre does the movie ""My Teacher"" fall under?"
tt6190198,What is Hibiki's experience with romance before meeting Mr. Ito?
tt5742374,What is the main character's occupation in 'You Were Never Really Here'?
tt5742374,Who directed the movie 'You Were Never Really Here'?
tt5742374,What is the plot of 'You Were Never Really Here' about?
tt5742374,Who plays the role of Joe in 'You Were Never Really Here'?
tt5742374,What themes are explored in the movie 'You Were Never Really Here'?
tt3496892,What is the main plot of Petals on the Wind and how do the characters deal with their past?
tt3496892,Can you provide details about the abusive relationship that Cathy enters in the movie?
tt3496892,Who are the main cast members of Petals on the Wind and what roles do they play?
tt3496892,How does the movie explore the relationship between Cathy and Christopher as they confront their feelings?
tt3496892,What is the runtime of Petals on the Wind and who directed the film?
tt6874964,What year was Jesus Christ Superstar Live in Concert released?
tt6874964,Who directed the live musical Jesus Christ Superstar Live in Concert?
tt6874964,Can you provide a summary of Jesus Christ Superstar Live in Concert?
tt6874964,How long is the runtime for Jesus Christ Superstar Live in Concert?
tt6874964,What is the IMDb rating for Jesus Christ Superstar Live in Concert?
tt2989350,What is the main premise of the movie Dare to Be Wild?
tt2989350,Who directed the film Dare to Be Wild?
tt2989350,What is the runtime of Dare to Be Wild?
tt2989350,Can you provide the IMDb rating for Dare to Be Wild?
tt2989350,What genres does the movie Dare to Be Wild belong to?
tt0340012,What is the main plot of the movie Being Julia?
tt0340012,Who are the main characters in Being Julia and what are their roles?
tt0340012,What themes are explored in the film Being Julia?
tt0340012,How does Julia's relationship with Tom differ from her relationship with Michael?
tt0340012,Who directed Being Julia and who wrote the screenplay?
tt2243900,What year was the movie 'Trouble Is My Business' released?
tt2243900,Can you provide a brief summary of the plot involving Roland Drake?
tt2243900,Who directed the film and who are the main cast members?
tt2243900,How does Roland Drake's relationship with Katherine Montemar change throughout the story?
tt2243900,What genre does 'Trouble Is My Business' fall under and what is its runtime?
tt7260048,What is the main storyline of the movie Outside In?
tt7260048,Who directed the film Outside In and who are the main actors?
tt7260048,What is the runtime of Outside In?
tt7260048,In which year was Outside In released?
tt7260048,Can you provide the IMDb ID for the movie Outside In?
tt5079382,Who is the main subject of the documentary titled 'Froning: The Fittest Man in History'?
tt5079382,What year was the movie 'Froning: The Fittest Man in History' released?
tt5079382,Can you tell me about the themes explored in this movie?
tt5079382,How long is the runtime of 'Froning: The Fittest Man in History'?
tt5079382,Who directed the documentary 'Froning: The Fittest Man in History'?
tt0368709,What is the plot of Elizabethtown and how does the main character's journey begin?
tt0368709,Who are the main actors in Elizabethtown and what are their roles?
tt0368709,"What themes are explored in this movie, considering its genres of comedy, drama, and romance?"
tt0368709,How does the character Drew Baylor's perspective on life change throughout the film?
tt0368709,What is the significance of the setting in Elizabethtown and how does it influence the story?
tt0250371,What is the main storyline of 'The Other Side of Heaven'?
tt0250371,Who plays the lead role in the movie and what character do they portray?
tt0250371,In what year was 'The Other Side of Heaven' released?
tt0250371,What are the main challenges faced by John H. Groberg during his missionary journey?
tt0250371,Can you provide a brief summary of John H. Groberg's experiences in Tonga as depicted in the film?
tt2317088,What is the main focus of the documentary 'Sons of Ben'?
tt2317088,Who directed the movie 'Sons of Ben'?
tt2317088,How long is the runtime of 'Sons of Ben'?
tt2317088,What rating does 'Sons of Ben' have on IMDb?
tt2317088,Can you provide a link to the trailer for 'Sons of Ben'?
tt1413492,What is the main plot of the movie 12 Strong and what historical event does it depict?
tt1413492,Who directed the film 12 Strong and who are some of the key actors in it?
tt1413492,What is the runtime of the movie 12 Strong?
tt1413492,Can you provide the IMDb ID for 12 Strong?
tt1413492,What genres does the movie 12 Strong fall under?
tt1590193,What is the main plot of the movie The Commuter?
tt1590193,Who are the key characters in The Commuter and what roles do they play?
tt1590193,Who directed The Commuter and who wrote the screenplay?
tt1590193,What genres does The Commuter belong to?
tt1590193,How long is the runtime of The Commuter?
tt6135042,What is the main plot of the movie 'Birdshot'?
tt6135042,Who directed the film 'Birdshot'?
tt6135042,What year was 'Birdshot' released?
tt6135042,Can you tell me about the cast of 'Birdshot'?
tt6135042,How long is the runtime of 'Birdshot'?
tt0303361,What is the year of release for the movie May?
tt0303361,Who directed the film May?
tt0303361,Can you describe the main character's childhood experiences?
tt0303361,What themes does May explore in relation to loneliness?
tt0303361,What happens to May's doll and how does it affect her actions in the film?
tt7215388,What is the main focus of the documentary 'The China Hustle'?
tt7215388,Who directed and wrote 'The China Hustle'?
tt7215388,Can you tell me about the runtime of the movie?
tt7215388,What is the rating of 'The China Hustle' on IMDb?
tt7215388,Is there a trailer available for 'The China Hustle' and how can I view it?
tt6522634,What is the main character's motivation for traveling to Lapachito?
tt6522634,Who is Duarte and what role does he play in the story?
tt6522634,What tragic events have occurred in Cetarti's family?
tt6522634,What genres does 'The Lost Brother' fall under?
tt6522634,Who directed and wrote the film 'The Lost Brother'?
tt8144778,What is the main focus of the documentary 'The Redeemed and the Dominant: Fittest on Earth'?
tt8144778,In which year did the CrossFit Games featured in this film take place?
tt8144778,Who directed and wrote 'The Redeemed and the Dominant: Fittest on Earth'?
tt8144778,How long is the runtime of 'The Redeemed and the Dominant: Fittest on Earth'?
tt8144778,What achievement do the top athletes gain by competing in this documentary?
tt6061074,What is the main theme of the movie First Match?
tt6061074,Who directed the film First Match?
tt6061074,Can you tell me about the main character's background in First Match?
tt6061074,What is the runtime of the movie First Match?
tt6061074,Is First Match based on a true story?
tt5678110,What is the main theme of the movie Re: Born?
tt5678110,Who directed the film Re: Born?
tt5678110,How long is the runtime of the movie Re: Born?
tt5678110,Can you provide the IMDb ID for Re: Born?
tt5678110,What genres does the movie Re: Born fall under?
tt5039242,What is the main plot of A Moving Romance and how does Olivia's career change impact her family business?
tt5039242,Who are the main cast members of A Moving Romance and what roles do they play?
tt5039242,What year was A Moving Romance released and who directed the film?
tt5039242,How does Olivia's relationship with Scott evolve throughout the movie?
tt5039242,What dilemma does Olivia face regarding her job opportunity in New York when she returns to California?
tt5304464,What is the primary focus of the family dynamics in the movie 'Happy End'?
tt5304464,Who directed the movie 'Happy End' and what themes does it explore?
tt5304464,Can you describe the role of the character Anne in 'Happy End'?
tt5304464,What incident affects the family in 'Happy End' and how does it impact them?
tt5304464,How does the setting of Calais influence the story in 'Happy End'?
tt5294966,What challenges does Ryota face in supporting his son after his father's death?
tt5294966,How does the relationship between Ryota and his ex-wife evolve throughout the movie?
tt5294966,What significant event occurs on the stormy summer night that impacts Ryota and his family?
tt5294966,Who directed the film 'After the Storm' and who wrote it?
tt5294966,In which year was 'After the Storm' released and how long is its runtime?
tt6336356,What is the main premise of Mary and the Witch's Flower?
tt6336356,Who directed the movie and who is the writer of the original story?
tt6336356,What type of genres does this film belong to?
tt6336356,Can you tell me about the mystical elements in the story and what they involve?
tt6336356,What is the significance of the Fly-by-Night flower in the film?
tt5836316,What is the primary theme explored in The Last Movie Star?
tt5836316,Who directed the movie The Last Movie Star?
tt5836316,What year was The Last Movie Star released?
tt5836316,Can you provide a brief summary of The Last Movie Star?
tt5836316,Who are the main cast members in The Last Movie Star?
tt5859238,What is the main theme explored in the movie Lucky?
tt5859238,Who is the director of the film Lucky released in 2017?
tt5859238,Can you provide a brief summary of Lucky's plot?
tt5859238,What genre does the movie Lucky belong to?
tt5859238,How long is the runtime of the movie Lucky?
tt5776858,What is the main premise of the movie Phantom Thread?
tt5776858,Who plays the character of Reynolds Woodcock in Phantom Thread?
tt5776858,In what year was Phantom Thread released?
tt5776858,What themes are explored in the movie Phantom Thread?
tt5776858,How long is the runtime of Phantom Thread?
tt4209788,What is the main premise of Molly's Game?
tt4209788,Who directed the movie and who are the main cast members?
tt4209788,Can you provide a brief summary of the events leading to Molly's arrest?
tt4209788,What genre does Molly's Game fall under?
tt4209788,How long is the runtime of the film?
tt6410564,What is the main plot of The Third Murder and who is the central character?
tt6410564,Can you provide details about the lawyer representing Misumi in the film?
tt6410564,What genre does The Third Murder fall under and how long is its runtime?
tt6410564,Who directed The Third Murder and who are some of the key actors involved?
tt6410564,"Is there a trailer available for The Third Murder, and if so, where can I find it?"
tt1545985,What is the main plot of 'The Coming Days' and how does it involve the characters' relationships?
tt1545985,In which year was 'The Coming Days' released?
tt1545985,Who directed the movie 'The Coming Days'?
tt1545985,Can you tell me the runtime of 'The Coming Days' and its IMDB rating?
tt1545985,What are the names of the main cast members in 'The Coming Days'?
tt0296042,What is the central conflict involving the Yakuza boss Anjo in 'Ichi the Killer'?
tt0296042,Can you describe the character of Kakihara and his motivations in the film?
tt0296042,What unique abilities does Ichi possess that make him a formidable opponent?
tt0296042,"What genres does 'Ichi the Killer' fall under, and how might that affect the viewing experience?"
tt0296042,Who directed 'Ichi the Killer' and who are some of the main cast members?
tt5757738,What is the year of release for The Boy with the Topknot?
tt5757738,Who is the director of The Boy with the Topknot?
tt5757738,Can you provide a brief summary of The Boy with the Topknot?
tt5757738,What is the runtime of the movie The Boy with the Topknot?
tt5757738,Who are some of the cast members in The Boy with the Topknot?
tt5751998,What is the main premise of the movie 'Small Town Crime'?
tt5751998,Who directed the film and who are the main cast members?
tt5751998,How long is the runtime of 'Small Town Crime'?
tt5751998,In what year was 'Small Town Crime' released?
tt5751998,What genres does 'Small Town Crime' fall under?
tt1727497,What is the primary conflict between the two main police officers in Control?
tt1727497,Who is the director of the movie Control?
tt1727497,What year was the movie Control released?
tt1727497,Can you provide a brief summary of the movie Control?
tt1727497,What genres does the movie Control belong to?
tt5797164,What is the main premise of the movie Dear Etranger?
tt5797164,Who is the director of Dear Etranger?
tt5797164,What challenges does the protagonist face in Dear Etranger?
tt5797164,Can you provide the IMDb rating for Dear Etranger?
tt5797164,What is the runtime of Dear Etranger?
tt5999530,What is the main plot of the movie Before We Vanish?
tt5999530,Who is the director of Before We Vanish?
tt5999530,What year was Before We Vanish released?
tt5999530,What are the primary genres of Before We Vanish?
tt5999530,Can you provide a link to the trailer for Before We Vanish?
tt6903636,What themes are explored in the film Grace Jones: Bloodlight and Bami?
tt6903636,Who is the director of the documentary Grace Jones: Bloodlight and Bami?
tt6903636,What kind of performances can viewers expect to see from Grace Jones in this movie?
tt6903636,Can you tell me about the significance of the title 'Bloodlight and Bami'?
tt6903636,In which year was the documentary Grace Jones: Bloodlight and Bami released?
tt5294550,What is the main plot of 'All the Money in the World'?
tt5294550,Who directed the movie and who are the main actors?
tt5294550,How does Gail attempt to convince Getty to pay the ransom?
tt5294550,"In what year is the movie set, and what significant event triggers the story?"
tt5294550,What themes are explored in the film regarding wealth and family?
tt6015328,What is the main plot of Chasing the Dragon and who is the protagonist?
tt6015328,In which year does the story of Chasing the Dragon take place?
tt6015328,Who directed the movie Chasing the Dragon?
tt6015328,What transformation does the character Ho undergo throughout Chasing the Dragon?
tt6015328,Can you describe the setting in which Chasing the Dragon unfolds?
tt4547194,What year was the movie 'I Kill Giants' released?
tt4547194,Can you give me a brief summary of the plot of 'I Kill Giants'?
tt4547194,What are the main genres associated with 'I Kill Giants'?
tt4547194,Who directed the movie 'I Kill Giants'?
tt4547194,How long is the runtime of 'I Kill Giants'?
tt5796838,What is the primary focus of the movie 'Roxanne Roxanne'?
tt5796838,Who directed the film 'Roxanne Roxanne'?
tt5796838,Can you tell me about the main character in 'Roxanne Roxanne'?
tt5796838,What year was 'Roxanne Roxanne' released?
tt5796838,What genre does 'Roxanne Roxanne' belong to?
tt5711148,What is the primary theme explored in 'Film Stars Don't Die in Liverpool'?
tt5711148,Who directed the movie 'Film Stars Don't Die in Liverpool'?
tt5711148,Can you provide a brief summary of the film's plot?
tt5711148,What year was 'Film Stars Don't Die in Liverpool' released?
tt5711148,Who are the main cast members featured in the film?
tt1706598,What is the main plot of the movie Every Secret Thing?
tt1706598,Who is the director of Every Secret Thing?
tt1706598,What genres does Every Secret Thing belong to?
tt1706598,How long is the runtime of Every Secret Thing?
tt1706598,Can you provide a link to the trailer for Every Secret Thing?
tt0419491,What is the main premise of the movie Believe in Me?
tt0419491,Who directed the film Believe in Me and who are the lead actors?
tt0419491,In what year does the movie Believe in Me take place?
tt0419491,What challenges does Coach Clay Driscoll face while coaching the girls' basketball team?
tt0419491,How do the Lady Cyclones ultimately prove their worth in the movie Believe in Me?
tt3230162,What is the main theme of the movie 'Still the Water'?
tt3230162,Who directed the film 'Still the Water' and who are the main cast members?
tt3230162,What significant event does Kaito discover during the full-moon night?
tt3230162,How does Kaito's relationship with Kyoko contribute to the overall story in 'Still the Water'?
tt3230162,Can you provide a brief summary of 'Still the Water' highlighting its setting and key elements?
tt2009432,What challenges do Tess and Anna face as they form their unlikely alliance?
tt2009432,Who are the key relationships that struggle to connect with Tess and Anna?
tt2009432,What is the significance of Tess's background as the daughter of a Black Panther revolutionary?
tt2009432,Can you describe the transformative journey that Tess and Anna undertake in the film?
tt2009432,What genre best describes the movie 'Redemption Trail' and what themes does it explore?
tt2141623,What is the main premise of the movie Black Marigolds?
tt2141623,Who are the main characters in the film and what roles do they play?
tt2141623,What challenges does Ryan Cole face while attempting to finish his novel?
tt2141623,How does Kate's perception of Ryan change throughout the story?
tt2141623,"What genre does Black Marigolds belong to, and who directed it?"
tt1485796,What is the year of release for The Greatest Showman?
tt1485796,Who directed The Greatest Showman?
tt1485796,What is the main theme of The Greatest Showman as described in the summary?
tt1485796,Can you provide the runtime of The Greatest Showman?
tt1485796,Who are the main cast members featured in The Greatest Showman?
tt3057572,What is the main plot of the movie Of Mind and Music?
tt3057572,Who is the director of the film and who are the main cast members?
tt3057572,In what year was Of Mind and Music released?
tt3057572,What genres does the movie Of Mind and Music belong to?
tt3057572,Can you provide a link to the trailer for Of Mind and Music?
tt4130484,What is the main focus of the documentary 'Demon House'?
tt4130484,Who directed and wrote the movie 'Demon House'?
tt4130484,Can you provide a brief summary of the plot of 'Demon House'?
tt4130484,What genre does 'Demon House' fall under?
tt4130484,How long is the runtime of the movie 'Demon House'?
tt3986978,What is the main subject of the documentary 'Along for the Ride'?
tt3986978,Who directed the film 'Along for the Ride'?
tt3986978,Which platforms can I find the trailer for 'Along for the Ride'?
tt3986978,What is the runtime of the documentary 'Along for the Ride'?
tt3986978,Who are the main cast members in 'Along for the Ride'?
tt4932154,What is the main theme of the movie Centre of My World?
tt4932154,Who directed the film Centre of My World?
tt4932154,Can you tell me the runtime of Centre of My World?
tt4932154,What is the IMDb rating for Centre of My World?
tt4932154,Who are the main cast members in Centre of My World?
tt5208216,What is the main storyline of the movie Wonderstruck?
tt5208216,In what years are the two children's stories set in Wonderstruck?
tt5208216,Who directed the movie Wonderstruck?
tt5208216,Can you list some of the main cast members in Wonderstruck?
tt5208216,What genres does Wonderstruck belong to?
tt3568002,What year was the documentary 'The Witness' released?
tt3568002,Who directed the movie and who wrote the screenplay?
tt3568002,Can you summarize the main plot of 'The Witness'?
tt3568002,What is the runtime of 'The Witness'?
tt3568002,What genres does the film 'The Witness' belong to?
tt4683668,What is the main focus of the documentary 'Harold and Lillian: A Hollywood Love Story'?
tt4683668,Who directed the movie and what is his notable achievement?
tt4683668,Can you name a few famous directors whose films were influenced by Harold and Lillian Michelson?
tt4683668,How long is the runtime of 'Harold and Lillian: A Hollywood Love Story'?
tt4683668,What type of content can viewers expect from the documentary aside from film clips?
tt7017474,What year was the documentary Ferrari 312B: Where the Revolution Begins released?
tt7017474,Who directed the film about the Ferrari 312B?
tt7017474,What is the runtime of the documentary Ferrari 312B: Where the Revolution Begins?
tt7017474,Can you provide a brief summary of the movie Ferrari 312B: Where the Revolution Begins?
tt7017474,What genres does the film Ferrari 312B: Where the Revolution Begins belong to?
tt4591310,What is the main plot of The Monkey King 2 in 2016?
tt4591310,Who directed the movie The Monkey King 2?
tt4591310,What genres does The Monkey King 2 belong to?
tt4591310,Can you tell me the runtime of The Monkey King 2?
tt4591310,Who are the main cast members featured in The Monkey King 2?
tt6548966,What is the main magic artifact featured in 'Fairy Tail: The Movie - Dragon Cry' and what is its destructive capability?
tt6548966,Who are the main characters that embark on the undercover mission in the Kingdom of Stella?
tt6548966,What is the runtime of 'Fairy Tail: The Movie - Dragon Cry'?
tt6548966,Who directed the movie and who is the writer behind its story?
tt6548966,What are the genres that 'Fairy Tail: The Movie - Dragon Cry' falls under?
tt1103963,What year was the movie 24 City released?
tt1103963,Can you provide a summary of the film's themes and setting?
tt1103963,Who directed the movie 24 City and who wrote it?
tt1103963,"What is the runtime of the film, and what genre does it belong to?"
tt1103963,What are some key elements shared by the characters in 24 City?
